"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"239",-2.908,4.75,5.018,-1.734,-4.937,3.246,1.834,1.821,2.953,0.085,1.519,-6.152,-0.618,2.542,-12.154,4.137,7.577,1.208,6.998,6.906,0.769,-5.627,5.649,5.626,5.383,6.906,-4.704,-3.247,-3.59,2.518,1.753,-1.469,2.039,1.635,3.252,3.722,-8.84,-1.023,-0.724,6.566,0.87,-0.655,1.461,7.205,-7.755,-0.446,-3.479,4.234,4.564,11.585,9.67,11.282,-4.111,-17.529,2.431,13.506,11.355,11.555,13.53,-1.01,18.276,19.859,-2.118,18.688,26.181,-23.259,21.346,-11.273,-1.571,9.749,8.201,1.011,7.055,11.415,12.035,10.476,-23.734,-16.39,-5.733,14.22,4.915,10.234,-20.439,23.972,22.284,23.631,-35.96,-36.738,24.007,20.441,20.361,24.546,23.146,24.057,23.171,21.221,23.454,-5.371,1.551,-3.249
"240",-2.52,7.929,5.858,1.801,-3.474,3.875,6.374,4.418,7.079,3.442,1.777,-4.327,1.268,2.967,-8.887,4.907,8.205,3.13,9.385,5.508,5.547,-3.374,5.283,4.575,7.939,5.508,-2.909,-0.296,-1.661,3.539,5.575,0.137,4.154,5.787,3.459,3.923,-7.133,2.316,2.687,8.917,5.413,3.279,5.262,7.751,-5.55,1.925,-2.716,4.094,4.339,13.552,9.804,14.75,-0.493,-16.035,4.448,17.937,13.147,12.719,17.943,-1.07,20.055,24.491,-0.41,23.92,27.069,-15.922,23.167,-5.539,3.106,11.775,10.893,1.097,12.992,13.703,14.359,13.569,-20.328,-12.42,-2.269,18.17,9.647,13.405,-15.531,25.473,23.85,24.572,-28.078,-28.689,24.884,23.474,21.837,26.265,25.173,24.682,23.941,23.233,25.252,-1.147,3.773,-0.366
"241",0.524,12.411,9.69,6.662,3.835,8.823,10.98,10.367,11.915,7.866,5.237,2.075,6.58,5.482,-0.953,9.459,11.877,7.324,13.909,8.763,11.106,-0.00399999999999995,8.564,7.715,11.359,8.763,3.057,4.353,3.835,8.525,11.012,8.016,8.024,10.657,7.778,8.181,-2.099,6.94,9.24,12.312,11.133,8.144,10.219,11.469,0.116,6.481,5.88,7.623,7.521,15.803,12.379,18.063,1.409,-11.627,10.072,22.048,15.317,16.852,22.84,5.02,21.274,28.573,6.299,28.917,28.152,-5.28,24.058,1.425,8.038,16.273,16.733,7.504,18.761,18.152,18.705,18.991,-7.298,2.497,7.262,23.291,14.089,20.606,0.911,26.092,24.65,25.815,-22.832,-23.413,25.476,27.141,24.796,28.19,26.336,25.799,25.255,24.386,26.505,7.874,12.927,10.437
"242",6.729,16.009,12.234,10.947,14.569,11.5,14.638,15.084,15.641,12.79,9.785,11.28,11.801,5.951,6.642,11.983,13.975,11.476,17.575,10.308,15.539,2.24,9.874,8.47,14.566,10.308,12.583,8.189,13.162,11.353,14.976,15.992,10.896,14.565,10.666,11.042,3.251,13.549,14.741,15.351,15.292,13.135,13.939,14.32,6.553,9.697,15.493,9.135,8.849,18.098,15.129,22.298,5.93,-5.383,14.309,27.316,18.976,19.43,26.868,11.553,23.029,28.709,12.877,30.043,28.564,3.395,25.422,8.123,13.262,19.171,21.049,15.404,20.086,20.909,21.377,22.388,2.741,14.292,13.892,26.62,15.535,26.18,8.658,27.142,25.714,26.921,-12.389,-12.84,26.398,26.941,26.786,27.856,27.072,26.421,25.925,24.936,26.413,13.523,22.406,20.449
"243",12.241,20.387,16.122,13.287,15.768,15.096,18.412,18.713,19.103,15.275,14.271,15.435,15.428,8.865,12.61,15.545,16.861,14.95,22.087,13.129,18.129,7.183,13.05,11.732,18.842,13.129,15.677,10.998,15.428,15.146,19.094,17.742,14.927,18.771,14.34,14.638,8.363,15.951,17.388,19.098,18.684,15.415,16.956,18.844,12.195,13.018,16.81,12.695,12.084,22.731,19.077,27.482,10.841,0.581,18.805,32.423,23.405,24.194,30.011,14.221,25.539,28.233,16.009,29.207,28.207,9.407,27.448,13.599,18.922,23.49,26.06,18.726,21.619,25.113,25.308,26.499,11.397,19.563,19.052,29.421,17.683,31.044,15.975,27.877,26.923,28.499,-3.939,-4.317,26.956,26.7,27.944,28.052,26.164,27.462,26.672,24.029,25.188,18.073,26.115,24.353
"244",14.061,21.271,19.088,14.181,16.668,15.688,18.925,20.157,19.931,15.41,14.249,16.151,17.01,9.678,15.063,17.686,18.628,14.807,23.636,15.848,18.856,8.327,14.771,13.424,20.413,15.848,16.022,12.164,15.519,15.758,20.117,20.196,17.52,19.421,14.523,14.815,9.603,15.752,18.812,20.562,19.276,15.919,17.973,23.138,13.116,14.701,19.373,14.204,13.516,23.801,23.264,28.846,14.523,3.99,22.618,33.824,26.453,26.097,30.116,19.947,27.057,28.224,22.558,26.681,28.015,12.384,28.057,15.831,21.192,25.496,29.231,24.614,21.052,26.736,26.919,28.374,15.532,23.119,21.328,30.501,18.377,34.581,17.904,28.222,27.194,28.772,-2.581,-2.931,26.927,26.007,26.581,26.964,26.127,27.608,26.729,23.742,24.882,19.838,30.054,28.002
"245",14.743,21.05,19.749,16.328,17.444,18.923,19.544,20.059,20.985,18.246,16.163,16.414,17.703,10.285,13.467,19.343,20.023,18.353,23.101,17.369,20.206,7.171,15.069,14.969,21.676,17.369,16.692,14.806,16.927,18.974,19.749,20.242,18.752,19.373,18.221,18.431,9.014,18.201,19.111,22.422,19.578,17.837,19.419,23.438,12.482,17.056,19.429,15.163,14.401,24.948,23.096,28.698,16.278,2.405,22.116,32.655,26.425,25.904,29.193,18.056,28.108,27.879,20.916,26.133,27.866,11.206,28.218,14.929,20.678,25.193,28.501,22.546,20.421,26.327,26.502,27.873,12.823,19.288,19.691,29.556,17.743,33.814,16.787,28.289,27.273,28.913,-5.216,-5.657,27.015,25.683,26.812,27.14,26.292,27.622,26.901,24.001,25.198,18.817,26.742,23.988
"246",11.139,18.235,17.827,12.276,10.298,15.818,15.989,16.457,17.08,13.29,13.424,10.29,13.725,10.005,8.012,17.15,18.336,14.06,20.52,16.985,15.14,5.221,14.556,14.945,19.063,16.985,10.29,11.051,10.681,15.371,16.505,14.658,16.37,15.926,15.342,15.622,5.976,12.744,14.249,19.91,15.649,12.659,15.647,20.645,8.398,14.063,12.845,14.267,13.632,23.108,21.323,25.843,11.795,-0.004,18.075,29.079,23.314,23.984,27.453,13.986,26.775,27.507,15.914,25.725,27.251,5.625,27.666,10.303,16.251,23.272,24.959,17.922,18.796,24.632,24.809,25.572,5.755,13.929,14.897,27.629,15.775,30.017,8.214,28.185,27.06,28.67,-11.324,-11.832,26.871,25.485,26.008,26.767,26.511,27.216,26.702,24.113,25.38,13.783,21.599,18.987
"247",5.752,15.042,12.314,7.785,3.473,10.995,12.662,12.799,13.298,8.329,8.284,3.524,8.36,8.3,0.631,11.957,14.066,8.866,17.427,13.789,11.096,2.332,10.893,12.219,14.715,13.789,3.619,6.639,4.206,10.583,12.721,9.209,10.136,12.414,10.41,10.786,0.548,6.954,10.403,16.44,12.142,8.489,11.552,14.737,2.012,8.722,6.097,10.592,10.207,21.04,16.023,21.277,6.675,-5.523,14.518,23.596,18.572,22.569,24.009,9.509,23.68,26.243,10.639,24.304,26.562,-4.424,26.11,2.171,8.219,22.141,21.503,12.584,16.011,23.989,24.176,23.427,-5.828,4.336,7.806,25.37,13.426,24.477,1.393,26.921,25.916,27.759,-18.392,-18.943,26.482,24.722,23.916,25.975,24.485,26.755,26.216,22.347,23.712,7.798,14.961,11.702
"248",4.199,10.933,8.317,3.648,2.723,6.391,9.105,7.921,9.695,4.626,5.207,2.277,4.538,4.943,-3.049,7.614,10.491,4.712,12.853,10.398,6.722,-2.442,7.405,9.074,11.745,10.398,2.27,2.036,3.14,5.898,7.625,4.99,6.424,8.181,6.451,6.89,-4.697,4.566,5.519,14.437,7.348,5.129,8,9.703,-2.443,4.343,3.707,6.529,6.492,18.367,11.146,16.866,3.869,-11.927,8.273,17.647,13.152,17.836,18.726,3.411,19.341,22.661,2.483,20.619,25.78,-15.158,24.676,-6.297,0.773,15.807,13.369,5.25,10.608,17.484,17.917,15.959,-15.909,-4.994,0.00900000000000001,19.441,8.239,15.443,-9.202,26.633,25.279,25.906,-28.826,-29.528,26.02,21.882,21.072,23.905,24.063,25.992,25.054,22.179,23.513,-0.236,4.491,1.162
